type,title,country,release_year,rating,duration
Movie,Catwalk: Tal...,Canada,2018,PG,76.13
Movie,Komola Rocke...,Bangladesh,2018,TV-14,95.673
Movie,Pahuna...,India,2018,PG,82.091
Movie,Miss Sharon ...,United States,2015,R,95.215
Movie,Under the Sh...,United Kingdom,2016,PG-13,84.208
Movie,House of Z...,United States,2016,TV-14,88.574
Movie,Coin Heist...,United States,2017,TV-14,98.055
Movie,Growing Up C...,United States,2016,PG,82.146
Movie,LEGO: Marvel...,United States,2013,G,22.213
Movie,Rustom...,India,2016,TV-14,141.941
Movie,3 Heroines...,Indonesia,2016,PG,124.129
Movie,5 Cowok Jago...,,2017,R,107.246
Movie,Chaotic Love...,Indonesia,2016,TV-14,86.987
Movie,Love You... ...,Indonesia,2015,TV-14,115.993
Movie,Mara...,United Kingdom,2017,R,100.133
Movie,Nang Nak...,Thailand,1999,TV-14,101.364
Movie,Soekarno...,Indonesia,2013,R,142.726
Movie,Before I Wak...,United States,2016,PG-13,97.69
TV Show,Devilman Cry...,Japan,2018,R,1.702
Movie,Don Quixote:...,United States,2015,TV-14,83.326
Movie,Back and For...,Brazil,2016,R,95.848
Movie,Kraftidioten...,Norway,2014,R,117.17
Movie,Rampage: Pre...,Canada,2016,R,100.765
TV Show,Dracula...,United Kingdom,2020,TV-14,1.185
TV Show,Go! Go! Cory...,United States,2020,G,1.292
Movie,And Breathe ...,Iceland,2018,TV-14,102.843
TV Show,Case Closed...,Japan,2015,TV-14,1.292
Movie,El Potro: Un...,,2018,R,122.612
Movie,Lionheart...,Nigeria,2018,PG,96.037
TV Show,See You in T...,,2017,TV-14,1.779
Movie,Marvel's Hul...,United States,2016,PG,76.185
Movie,Agatha and t...,United Kingdom,2018,TV-14,93.025
TV Show,Crime Time...,France,2017,R,1.936
Movie,Hantu Kak Li...,Malaysia,2018,TV-14,110.582
Movie,I Dream Of D...,,2017,PG,106.502
Movie,Love Off the...,China,2017,R,120.285
TV Show,Paprika...,,2018,G,1.204
Movie,The Gentlema...,United States,2018,R,83.99
Movie,The Hundred-...,United States,2014,PG,123.375
Movie,Expedition H...,Germany,2017,PG,96.576
Movie,Bill Burr: W...,United States,2017,R,79.055
Movie,Semana Santa...,Mexico,2015,R,87.169
Movie,Maharaja: Th...,,2010,TV-14,56.153
Movie,Sat Sri Akal...,India,2008,PG,141.964
Movie,Swiss Army M...,United States,2016,R,97.542
Movie,The Incredib...,United States,2018,PG,119.247
Movie,The Longshot...,United States,2008,PG,95.852
Movie,Virsa...,India,2010,TV-14,127.576
Movie,Jerry Seinfe...,United States,1998,G,69.557
Movie,Monster High...,United States,2014,TV-14,74.222
TV Show,Retribution...,United Kingdom,2016,R,1.691
TV Show,The Lady in ...,South Korea,2017,R,1.462
Movie,All the Frec...,Mexico,2020,TV-14,90.738
Movie,Deewangee...,India,2002,R,156.608
Movie,Ferris Buell...,United States,1986,PG-13,104.107
Movie,Occupation...,Australia,2018,R,121.088
Movie,Pope Francis...,Switzerland,2018,PG,97.225
Movie,Jen Kirkman:...,United States,2017,R,69.209
Movie,Ant-Man and ...,United States,2018,PG-13,118.854
Movie,Bhasmasur...,India,2017,TV-14,75.118
Movie,"Gabriel ""Flu...",,2019,TV-14,91.417
Movie,High Society...,South Korea,2018,R,138.242
TV Show,Inside the M...,Israel,2017,TV-14,1.447
Movie,Up Among  Th...,Spain,2018,R,86.841
Movie,Holy Camp!...,Spain,2017,TV-14,108.141
Movie,Hostages...,,2017,R,91.235
Movie,Patient Seve...,United States,2017,TV-14,68.734
Movie,The Force...,United States,2017,R,92.041
Movie,Journey to G...,France,2016,TV-14,99.31
Movie,Alt-Right: A...,,2018,R,106.988
Movie,Habibie & Ai...,Indonesia,2012,TV-14,125.723
Movie,Nathicharami...,India,2018,TV-14,114.948
Movie,Rudy Habibie...,Indonesia,2016,TV-14,143.476
Movie,Surga Yang T...,Indonesia,2015,TV-14,121.704
Movie,Surga Yang T...,Indonesia,2017,TV-14,119.513
TV Show,Frozen Plane...,United Kingdom,2011,PG,2.014
Movie,Frozen Plane...,United Kingdom,2011,PG,47.696
Movie,Frozen Plane...,United Kingdom,2011,PG,52.395
TV Show,The Making o...,United Kingdom,2012,PG,1.934
TV Show,A Taiwanese ...,,2018,R,2.019
Movie,IBOY...,United Kingdom,2017,R,91.981
TV Show,Juana Inés...,Mexico,2016,TV-14,1.836
TV Show,Shadow of Tr...,Israel,2016,R,1.989
Movie,Biggie & Tup...,United Kingdom,2002,R,109.232
Movie,Goyo: The Bo...,Philippines,2018,R,151.241
Movie,A Futile and...,United States,2018,R,102.265
TV Show,Dirty Money...,United States,2018,TV-14,2.077
Movie,Fakkah Fuzz:...,Singapore,2018,R,61.512
Movie,Mau Nieto: V...,Mexico,2018,R,57.12
Movie,Mune: Guardi...,France,2014,PG,85.851
Movie,Sebastián Ma...,Argentina,2018,R,50.122
Movie,13TH: A Conv...,,2017,UNRATED,38.219
Movie,Animas...,Spain,2018,R,88.72
TV Show,Black Earth ...,United Kingdom,2018,R,1.215
TV Show,Examination ...,Spain,2019,R,2.226
TV Show,Kingdom...,South Korea,2019,R,1.02
Movie,Mi Obra Maes...,Argentina,2018,R,105.941
Movie,Polar...,United States,2019,R,119.432
TV Show,The Perfect ...,,2017,TV-14,1.111
Movie,Acts of Veng...,Bulgaria,2017,R,88.17
Movie,O Silêncio d...,Brazil,2016,R,102.918
TV Show,Conversation...,United States,2019,R,1.746
Movie,Hotel Transy...,United States,2018,PG,97.502
Movie,Just Love...,Argentina,2018,R,96.978
Movie,Blockbuster...,France,2017,R,85.394
TV Show,Prison Playb...,South Korea,2017,R,1.884
Movie,Ricardo Quev...,Colombia,2018,R,59.65
Movie,The Good Cat...,United States,2017,PG-13,97.88
Movie,Cristela Alo...,United States,2017,R,67.09
Movie,Mitt...,United States,2014,PG,93.91
TV Show,Innocent...,Turkey,2017,R,1.295
Movie,Planet 51...,Spain,2009,PG,91.736
Movie,Iceman...,China,2014,R,104.949
Movie,My Entire Hi...,United States,2016,PG-13,77.294
Movie,Todd Glass: ...,United States,2018,R,63.355
Movie,Gad Gone Wil...,France,2017,R,57.43
TV Show,Chelsea Does...,United States,2016,R,2.185
Movie,Iliza Shlesi...,,2015,R,72.439
Movie,Countdown to...,,2017,R,69.137
TV Show,The Traffick...,United States,2016,R,1.079
Movie,Where's the ...,United States,2017,R,86.167
Movie,Ricardo O'Fa...,Mexico,2016,R,93.019
TV Show,Justice...,United Arab Emirates,2018,TV-14,1.545
TV Show,Love and Hon...,Japan,2017,TV-14,1.882
Movie,Caida del Ci...,Argentina,2016,R,78.195
Movie,Pink...,India,2016,R,130.681
Movie,Take the 10...,United States,2017,R,80.972
Movie,Half Girlfri...,India,2017,PG,129.865
TV Show,"Sex, Explain...",United States,2020,R,1.675
TV Show,Thieves of t...,Belgium,2019,R,2.037
TV Show,Déjà Vu...,,2013,TV-14,1.59
Movie,Monty Python...,United Kingdom,1975,PG,92.801
Movie,Haunters: Th...,United States,2017,R,89.391
Movie,Mustang Isla...,United States,2017,TV-14,86.298
Movie,The Jack Kin...,France,2015,TV-14,53.107
Movie,Auschwitz: B...,United Kingdom,1994,PG,49.286
Movie,Harith Iskan...,United States,2018,PG,62.234
Movie,Step Sisters...,United States,2018,TV-14,108.693
Movie,The Open Hou...,United States,2018,R,95.205
Movie,Good Kids...,United States,2016,R,91.036
Movie,The Bling Ri...,United States,2013,R,91.61
Movie,Close...,United Kingdom,2019,R,96.212
Movie,FYRE: The Gr...,United States,2019,R,98.984
Movie,IO...,United States,2019,TV-14,96.916
Movie,Lady-Like...,United States,2018,NOT RATED,83.019
TV Show,Legends of S...,United States,2017,PG,1.529
TV Show,Memory Love...,,2017,TV-14,1.662
Movie,Old Lord Sav...,Brazil,2018,PG,97.13
Movie,Patria...,Mexico,2019,R,90.47
Movie,Soni...,India,2018,R,97.508
TV Show,Strongland...,,2018,PG,1.484
TV Show,Trigger Warn...,,2019,R,1.63
Movie,Bad Day for ...,United Kingdom,2017,R,99.592
TV Show,Tiempos de g...,Spain,2017,R,1.52
Movie,Enlighten Us...,United States,2016,TV-14,93.544
Movie,A Fall from ...,,2020,R,121.318
TV Show,Ares...,,2020,R,2.158
TV Show,Nailed It! G...,,2020,TV-14,1.498
Movie,Arango y San...,Colombia,2018,R,62.682
TV Show,Godzilla...,Japan,2017,TV-14,1.612
Movie,Neal Brennan...,United States,2017,R,66.865
Movie,Roger Corman...,United States,2017,R,93.802
TV Show,?ubat...,Turkey,2013,TV-14,1.302
Movie,The Square...,United Kingdom,2013,R,105.963
Movie,Deadcon...,United States,2019,R,78.933
Movie,Get Him to t...,United States,2010,R,109.387
TV Show,Handsome Sib...,China,2020,TV-14,1.696
Movie,Hop...,United States,2011,PG,95.934
Movie,Jezebel...,United States,2019,R,86.878
Movie,Legend...,United Kingdom,2015,R,132.171
Movie,NiNoKuni...,Japan,2019,TV-14,107.863
Movie,Steve Jobs...,United Kingdom,2015,R,123.192
Movie,Driven to Da...,United States,2018,PG,99.883
Movie,Skyline...,United States,2010,PG-13,94.096
Movie,A Serious Ma...,United States,2009,R,106.917
Movie,Dallas Buyer...,United States,2013,R,117.072
Movie,Katt William...,United States,2018,R,60.495
Movie,Flash of Gen...,Canada,2008,PG-13,119.679
Movie,The Rezort...,United Kingdom,2016,R,90.773
Movie,Big Fat Liar...,United States,2002,PG,89.171
Movie,Bulbul Can S...,India,2018,TV-14,95.174
Movie,Eye For An E...,Spain,2019,R,108.718
TV Show,Killer Insid...,United States,2020,R,1.4
Movie,MindGamers...,Austria,2017,R,99.407
Movie,Saving Zoë...,United States,2019,R,95.913
Movie,The Brave...,United States,2019,R,103.971
Movie,Where the Mo...,Germany,2000,PG-13,89.884
Movie,Abducted in ...,United States,2017,TV-14,90.277
Movie,"Abdullah, Th...",Pakistan,2016,TV-14,89.102
Movie,Adhugo...,India,2018,TV-14,105.241
Movie,Chupan Chupa...,Pakistan,2017,TV-14,118.254
Movie,Deadly Switc...,United States,2019,PG,86.975
Movie,Echcharikkai...,India,2018,TV-14,127.642
TV Show,La Rosa de G...,Mexico,2010,PG,2.179
TV Show,La Viuda Neg...,Colombia,2016,TV-14,1.092
TV Show,Lavender...,Taiwan,2002,TV-14,1.812
Movie,Only Mine...,United States,2018,TV-14,88.837
Movie,Pandigai...,India,2017,TV-14,126.231
Movie,Pari...,Pakistan,2018,TV-14,116.348
Movie,Revenger...,South Korea,2018,R,102.099
Movie,Sebastian Ma...,United States,2019,R,65.67
Movie,The Devil We...,United States,2018,TV-14,89.165
Movie,The Doll...,Indonesia,2016,R,107.162
Movie,The Doll 2...,Indonesia,2017,R,117.081
Movie,A Boy Called...,United States,2016,PG,95.054
Movie,Alibaba Aur ...,Soviet Union,1980,PG,147.615
Movie,Down The Fen...,United States,2017,PG,94.036
Movie,Face 2 Face...,United States,2017,R,89.471
Movie,Manolo: The ...,United Kingdom,2017,R,89.738
Movie,One More Sho...,United States,2017,R,90.248
Movie,Operation Ch...,South Korea,2016,R,111.157
Movie,Phir Se...,India,2015,TV-14,118.68
Movie,Pyar Ke Do P...,India,1986,PG,153.769
Movie,Rip Tide...,Australia,2017,TV-14,87.755
Movie,Thong Dee Fu...,Thailand,2017,R,122.127
Movie,Unrest...,United Kingdom,2017,TV-14,97.163
Movie,Urvi...,India,2017,R,121.188
Movie,Berlin Calli...,Germany,2008,R,106.135
Movie,Harry and Sn...,United States,2015,PG,83.245
Movie,Hostage to t...,Ireland,2016,TV-14,97.248
Movie,Max Rose...,United States,2013,TV-14,85.112
Movie,Sarajevo...,Austria,2014,R,98.089
Movie,Stereo...,Germany,2014,R,91.268
Movie,Teenage Cock...,United States,2016,R,89.553
Movie,The Similars...,Mexico,2015,R,90.835
Movie,Twisted Trun...,India,2015,TV-14,89.717
Movie,We Are Young...,Germany,2014,R,124.086
Movie,Ip Man...,Hong Kong,2008,R,107.007
Movie,Ip Man 2...,Hong Kong,2010,R,108.151
TV Show,Kipo and the...,United States,2020,G,1.272
Movie,Leslie Jones...,United States,2020,R,66.827
Movie,The Master...,United States,2012,R,137.764
Movie,Women of Maf...,Poland,2019,R,132.963
Movie,Invisible Es...,Canada,2018,PG,91.857
TV Show,La Grande Ch...,Taiwan,2016,TV-14,1.999
Movie,Camp X-Ray...,United States,2014,R,117.264
Movie,Estar o no e...,Mexico,2016,TV-14,100.002
Movie,Little Siste...,United States,2016,R,91.188
Movie,The River Th...,United States,2016,R,87.388
TV Show,The Healing ...,,2020,G,1.232
Movie,The Last Fac...,United States,2016,R,131.523
Movie,13 Sins...,United States,2014,R,93.828
Movie,Baazaar...,India,2018,TV-14,137.17
Movie,The Fighter...,United States,2010,R,117.06
Movie,Aquarius...,Brazil,2016,UNRATED,146.184
Movie,Casablancas:...,France,2016,TV-14,82.826
Movie,Clinical...,United States,2017,R,104.75
TV Show,Historia de ...,Argentina,2015,R,2.08
Movie,Betty White:...,United States,2018,TV-14,57.062
Movie,Made in Chin...,India,2019,R,128.468
Movie,Becoming Jan...,United Kingdom,2007,PG-13,121.11
Movie,He's Out The...,United States,2018,R,89.645
Movie,Milada...,Czech Republic,2017,R,124.495
Movie,The Man Who ...,United States,2009,TV-14,68.514
Movie,The Polka Ki...,United States,2018,TV-14,94.373
Movie,The Reservoi...,South Korea,2017,R,100.494
Movie,Tom Segura: ...,United States,2018,R,71.012
Movie,Little Men...,United States,2016,PG,85.858
Movie,Very Big Sho...,Lebanon,2015,R,110.014
Movie,Zoom...,United States,2006,PG,88.72
Movie,All of You...,Philippines,2017,TV-14,104.816
TV Show,Back with th...,,2018,R,1.991
Movie,ReMastered: ...,,2019,R,66.062
TV Show,Sex Educatio...,United States,2019,R,2.034
Movie,Solo...,Spain,2018,R,91.809
Movie,The Last Lau...,United States,2019,R,99.104
Movie,Dayveon...,United States,2017,R,76.718
TV Show,AJ and the Q...,United States,2020,TV-14,1.47
TV Show,Giri / Haji...,United Kingdom,2019,R,1.359
TV Show,Jamtara - Sa...,India,2020,R,1.422
TV Show,Medical Poli...,United States,2020,R,1.414
Movie,Monsters: Da...,United Kingdom,2014,R,119.226
Movie,Set Up...,United States,2011,R,85.006
Movie,Sniper: Spec...,United States,2016,R,86.97
Movie,The Evil Dea...,United States,1981,R,85.446
TV Show,Until Dawn...,France,2020,R,1.938
TV Show,Shaka Zulu...,Italy,1986,TV-14,2.075
TV Show,When Heroes ...,Israel,2018,R,1.463
Movie,Alejandro Ri...,Colombia,2018,R,60.937
Movie,In The Deep...,United Kingdom,2017,PG-13,89.856
Movie,On Yoga The ...,Brazil,2017,TV-14,93.126
Movie,Jim Gaffigan...,United States,2017,TV-14,74.167
TV Show,We're Lalalo...,United States,2017,G,1.779
Movie,21...,United States,2008,PG-13,123.202
Movie,A Cinderella...,United States,2004,PG,95.985
Movie,Alpha and Om...,United States,2014,TV-14,45.321
Movie,American Bea...,United States,1999,R,122.406
Movie,Arthur Chris...,United Kingdom,2011,PG,98.761
Movie,Aruna & Her ...,Indonesia,2018,PG,106.638
Movie,As Good as I...,United States,1997,PG-13,140.234
Movie,Bad Grandpa ...,United States,2014,R,87.935
TV Show,Because This...,South Korea,2017,TV-14,1.222
Movie,Breaking the...,United Kingdom,2014,TV-14,105.261
Movie,Catch Me If ...,United States,2002,PG-13,142.584
TV Show,Cells at Wor...,Japan,2018,TV-14,2.237
Movie,Center Stage...,United States,2000,PG-13,117.157
Movie,Charlie and ...,United Kingdom,2005,PG,115.583
Movie,Chasing Amy...,United States,1997,R,113.383
TV Show,Chhota Bheem...,,2019,TV-14,2.099
Movie,Chitty Chitt...,United Kingdom,1968,G,146.244
Movie,Chloe...,United States,2009,R,96.324
Movie,City of God...,Brazil,2002,R,130.244
Movie,Click...,United States,2006,PG-13,109.025
Movie,Cloverfield...,United States,2008,PG-13,85.68
Movie,Coach Carter...,United States,2005,PG-13,137.363
Movie,Dinner for S...,United States,2010,PG-13,115.915
Movie,Donnie Brasc...,United States,1997,R,127.062
Movie,Dragonheart...,United States,1996,PG-13,103.337
Movie,Dragonheart ...,United States,2015,PG-13,97.59
Movie,Dragonheart:...,United States,2000,PG,84.436
Movie,Event Horizo...,United Kingdom,1997,R,96.643
Movie,Fall Girls...,United States,2019,TV-14,80.771
Movie,Final Destin...,United States,2000,R,98.883
Movie,Final Destin...,United States,2003,R,91.24
Movie,Final Destin...,United States,2006,R,93.8
Movie,Free Willy...,United States,1993,PG,113.085
Movie,Friday the 1...,United States,2009,R,97.562
Movie,Garfield Get...,,2007,TV-14,79.125
Movie,Garfield's F...,United States,2008,TV-14,79.194
Movie,Garfield's P...,South Korea,2009,G,79.179
Movie,Ghost Rider...,United States,2007,PG-13,110.043
Movie,Ghost Storie...,India,2020,R,146.088
Movie,Godzilla...,United States,1998,PG-13,139.986
Movie,Hairspray...,United States,2007,PG,116.481
Movie,Harold & Kum...,United States,2004,R,88.229
Movie,Hitch...,United States,2005,PG-13,118.478
Movie,Hunt to Kill...,Canada,2010,R,97.646
Movie,Inception...,United States,2010,PG-13,149.07
Movie,Instructions...,Mexico,2013,PG-13,122.219
Movie,Jeff Dunham:...,United States,2015,R,72.066
Movie,Jimmy Neutro...,United States,2001,G,83.883
Movie,Julie & Juli...,United States,2009,PG-13,123.125
Movie,Kate & Leopo...,United States,2001,PG-13,118.312
Movie,Kill Bill: V...,United States,2003,R,111.995
Movie,Kill Bill: V...,United States,2004,R,137.203
Movie,Kingpin...,United States,1996,PG-13,114.156
Movie,Kiss the Gir...,United States,1997,R,116.402
Movie,La Bamba...,United States,1987,PG-13,109.356
Movie,Legend of th...,United States,2010,PG,97.993
TV Show,Live Up To Y...,,2017,TV-14,1.652
Movie,Luccas Neto ...,,2019,TV-14,81.343
Movie,Magnolia...,United States,1999,R,189.885
Movie,Mandi...,India,1983,R,155.94
Movie,Mansfield Pa...,United Kingdom,1999,PG-13,113.178
TV Show,Messiah...,United States,2020,R,1.054
Movie,Monster-in-L...,United States,2005,PG-13,101.088
Movie,Moon...,United Kingdom,2009,R,97.277
Movie,My Girl...,United States,1991,PG-13,102.966
Movie,New York Min...,United States,2004,PG,91.298
TV Show,Nisman: The ...,,2020,R,1.91
Movie,Pan's Labyri...,Mexico,2006,R,119.988
Movie,Paranormal A...,United States,2007,R,86.191
Movie,Patriot Game...,United States,1992,R,117.087
Movie,Pokémon the ...,,2018,TV-14,98.222
Movie,Posesif...,Indonesia,2017,TV-14,102.748
TV Show,Reply 1988...,,2015,TV-14,1.392
Movie,Resident Evi...,Germany,2010,R,97.36
Movie,Riot...,United States,2015,R,88.088
Movie,Road Trip: B...,United States,2009,R,98.218
TV Show,Save Me...,,2017,TV-14,2.111
Movie,Scary Movie...,United States,2000,R,88.508
Movie,Seal Team Si...,United States,2012,R,90.018
Movie,Siren...,United States,2016,R,83.255
Movie,Sliver...,United States,1993,R,107.038
Movie,Snow Day...,United States,2000,PG,90.217
TV Show,Spinning Out...,,2020,R,1.959
Movie,Strictly Bal...,Australia,1992,PG,96.237
Movie,Stuart Littl...,Germany,1999,PG,85.578
Movie,Stuart Littl...,United States,2002,PG,78.446
Movie,Sweeney Todd...,United States,2007,R,116.231
Movie,Teenage Muta...,United States,1991,PG,88.09
Movie,Teenage Muta...,,1990,PG,95.113
Movie,Terminator 3...,United States,2003,R,109.084
Movie,Terminator S...,United States,2009,PG-13,115.743
Movie,The Amityvil...,United States,2005,R,89.912
TV Show,The Bride of...,,2017,TV-14,2.067
TV Show,The Circle...,,2020,R,1.718
Movie,The Craft...,United States,1996,R,101.641
Movie,The Crying G...,United Kingdom,1992,R,112.352
Movie,The Dukes of...,United States,2005,PG-13,104.323
Movie,The Dukes of...,United States,2007,R,96.153
Movie,The Final De...,United States,2009,R,82.073
Movie,The Inventio...,United States,2009,PG-13,99.772
Movie,The Lord of ...,New Zealand,2003,PG-13,201.695
Movie,The Lord of ...,New Zealand,2002,PG-13,179.544
Movie,The Mask of ...,United States,1998,PG-13,138.039
Movie,The Naked Gu...,,1991,PG-13,85.975
Movie,The Naked Gu...,United States,1988,PG-13,85.671
Movie,The Natural...,United States,1984,PG,138.955
Movie,The Original...,United States,2000,R,111.459
Movie,The Peacemak...,United States,1997,R,124.962
Movie,The Ring...,United States,2002,PG-13,116.046
Movie,The Talented...,United States,1999,R,140.187
Movie,Tremors...,United States,1990,PG-13,96.858
Movie,Tremors 2: A...,,1995,PG-13,101.214
Movie,Tremors 3: B...,United States,2001,PG,104.063
Movie,Tremors 4: T...,United States,2004,PG-13,101.049
Movie,Tremors 5:  ...,South Africa,2015,PG-13,99.265
Movie,True Grit...,United States,1969,G,129.019
Movie,Up in the Ai...,United States,2009,R,110.468
Movie,What Lies Be...,United States,2000,PG-13,131.065
Movie,Wild Wild We...,United States,1999,PG-13,107.243
Movie,Willy Wonka ...,United States,1971,G,100.329
Movie,Wyatt Earp...,United States,1994,PG-13,192.101
Movie,Yes Man...,United States,2008,PG-13,105.023
Movie,A Perfect En...,United States,2012,R,110.696
Movie,Across the U...,United States,2007,PG-13,133.617
Movie,Babel...,France,2006,R,143.811
Movie,Back to the ...,Thailand,2015,TV-14,112.025
Movie,Black Hawk D...,United States,2001,R,144.877
Movie,Chappie...,South Africa,2015,R,121.559
Movie,Christmas wi...,United States,2004,PG,99.013
Movie,Daddy Day Ca...,United States,2003,PG,93.095
Movie,Gone are the...,United States,2018,R,100.644
TV Show,Good Girls...,United States,2018,TV-14,1.186
Movie,Hell or High...,United States,2016,R,102.466
Movie,Indiana Jone...,United States,2008,PG-13,123.142
Movie,Indiana Jone...,United States,1989,PG-13,127.153
Movie,Indiana Jone...,United States,1981,PG,116.004
Movie,Indiana Jone...,United States,1984,PG,119.284
Movie,Jay and Sile...,United States,2001,R,105.902
Movie,Jersey Boys...,United States,2014,R,134.452
Movie,Kevyn Aucoin...,United States,2017,R,91.21
Movie,Krystal...,United States,2017,R,93.736
Movie,Last Night...,United States,2010,R,93.536
Movie,"Lock, Stock ...",United Kingdom,1998,R,108.241
Movie,Merku Thodar...,India,2018,R,116.198
Movie,Mona Lisa Sm...,United States,2003,PG-13,119.542
Movie,Moshe Kasher...,United States,2012,R,62.184
Movie,Perfect Stra...,United States,2007,R,109.79
Movie,Pokémon the ...,Japan,2017,TV-14,97.7
Movie,Pulp Fiction...,United States,1994,R,154.33
Movie,Puriyatha Pu...,India,2017,R,121.068
Movie,Taramani...,India,2017,TV-14,148.158
Movie,Tears of the...,United States,2003,R,121.189
Movie,The Boy in t...,United Kingdom,2008,PG-13,95.334
Movie,The Crow...,United States,1994,R,102.069
Movie,The Pass...,United Kingdom,2016,R,87.073
TV Show,Tidying Up w...,United States,2019,PG,1.712
Movie,Trash...,United Kingdom,2014,R,114.529
Movie,Whitney Cumm...,United States,2010,R,48.149
Movie,XXx...,United States,2002,PG-13,124.925
Movie,XXX: State o...,United States,2005,PG-13,101.103
Movie,Aajcha Divas...,India,2013,PG,126.443
Movie,Aata Pita...,India,2010,TV-14,133.022
Movie,AlphaGo...,United States,2017,G,90.245
Movie,Badha...,India,2006,TV-14,91.702
Movie,Camp Cool Ki...,United States,2017,G,104.763
Movie,Chittagong...,United States,2012,R,105.644
Movie,Devrai...,India,2004,PG,123.303
Movie,Dries...,Germany,2017,PG,89.572
Movie,Empire of Sc...,Canada,2014,TV-14,87.69
Movie,Eve's Apple...,Spain,2017,TV-14,91.268
Movie,Fandry...,India,2014,R,102.976
TV Show,Fullmetal Al...,Japan,2003,TV-14,1.839
Movie,Functional F...,United States,2016,R,106.276
Movie,Green White ...,Nigeria,2016,R,102.976
Movie,Happy Huntin...,United States,2017,R,91.547
Movie,Heartthrob...,United States,2017,R,87.964
Movie,Hridaynath...,India,2012,TV-14,104.21
Movie,Hum Aapke Ha...,India,1994,R,193.564
Movie,Hum Saath-Sa...,India,1999,G,176.64
Movie,Ideachi Kalp...,India,2010,TV-14,124.467
Movie,Jora 10 Numb...,India,2017,R,135.693
Movie,Justin Biebe...,United States,2011,G,106.462
Movie,Kay Dyache B...,India,2005,TV-14,133.158
Movie,Maacher Jhol...,India,2017,PG,107.877
Movie,Maddman: The...,United States,2017,R,78.018
Movie,Maine Pyar K...,India,1989,PG,192.601
Movie,Martin Luthe...,United States,2017,PG,55.079
Movie,Maza Pati Ka...,India,1988,PG,132.357
Movie,Mi Shivajira...,India,2009,TV-14,148.116
Movie,Monster High...,United States,2012,TV-14,46.98
Movie,Monster High...,United States,2013,TV-14,46.167
Movie,Monster High...,United States,2011,TV-14,46.016
Movie,Monster High...,United States,2014,TV-14,75.24
Movie,Monster High...,United States,2013,TV-14,47.135
Movie,Not Alone...,United States,2017,TV-14,51.223
Movie,Now More Tha...,United States,2016,R,114.847
Movie,Nymphomaniac...,Denmark,2013,R,117.773
Movie,Planetarium...,France,2016,R,108.129
TV Show,Pokémon: Ind...,Japan,2000,G,1.373
Movie,Residente...,United States,2017,R,97.184
Movie,Sanai Chough...,India,2008,TV-14,122.806
Movie,Shahanpan De...,India,2011,TV-14,115.466
Movie,Super Dark T...,United States,2017,R,104.222
Movie,The Age of S...,South Korea,2016,R,140.396
Movie,The Arbitrat...,Nigeria,2016,R,101.311
Movie,The Damned R...,India,2009,TV-14,99.054
TV Show,The Frozen D...,France,2017,R,1.622
Movie,The Rehearsa...,New Zealand,2016,R,103.086
Movie,The Trigger ...,United States,1996,R,94.308
Movie,The Vault...,United States,2017,R,93.111
Movie,Time Please...,India,2013,TV-14,125.661
Movie,Treasures fr...,United Kingdom,2017,G,82.788
TV Show,We Speak Dan...,United States,2018,TV-14,1.899
Movie,Yanda Kartav...,India,2006,PG,151.639
TV Show,A Good Wife...,Taiwan,2013,TV-14,1.481
Movie,An American ...,India,2013,PG,80.367
TV Show,An Innocent ...,Taiwan,2012,TV-14,1.26
Movie,Autohead...,India,2016,R,98.062
Movie,Bee Movie...,United States,2007,PG,92.946
TV Show,Ex-Boyfriend...,China,2011,TV-14,1.937
TV Show,Happy 300 Da...,Taiwan,2013,TV-14,1.173
Movie,Headwinds...,France,2011,TV-14,92.195
Movie,Hurricane Bi...,United States,2016,R,85.099
TV Show,In Between...,Taiwan,2012,TV-14,1.265
Movie,Radiopetti...,India,2015,PG,83.834
Movie,Saheb Bibi G...,India,2016,R,118.489
Movie,The Land of ...,Belgium,2016,R,84.883
Movie,The Rat Race...,India,2010,PG,52.603
Movie,To Be a Miss...,United States,2016,TV-14,84.27
Movie,Udta Punjab...,India,2016,R,147.111
TV Show,What Is Love...,Taiwan,2012,TV-14,1.108
TV Show,Who's the On...,Taiwan,2011,TV-14,1.158
Movie,How to Chang...,Canada,2015,R,110.513
TV Show,Mighty Morph...,United States,1996,G,1.857
TV Show,Ninja Turtle...,Canada,1997,G,1.852
TV Show,Power Ranger...,United States,2004,G,1.175
TV Show,Power Ranger...,United States,1998,G,1.448
TV Show,Power Ranger...,United States,2008,G,1.484
TV Show,Power Ranger...,United States,2000,G,1.801
TV Show,Power Ranger...,United States,1999,G,1.472
TV Show,Power Ranger...,United States,2006,G,1.472
TV Show,Power Ranger...,United States,2003,G,1.041
TV Show,Power Ranger...,United States,2007,G,1.149
TV Show,Power Ranger...,United States,2009,G,1.765
TV Show,Power Ranger...,United States,2005,G,1.997
TV Show,Power Ranger...,United States,2011,G,1.199
Movie,Power Ranger...,United States,2011,G,24.115
Movie,Power Ranger...,United States,2011,G,46.194
Movie,Power Ranger...,United States,2011,G,24.26
TV Show,Power Ranger...,United States,2014,TV-14,1.259
Movie,Power Ranger...,United States,2014,TV-14,55.111
TV Show,Power Ranger...,United States,2012,G,1.579
Movie,Power Ranger...,United States,2012,G,24.597
Movie,Power Ranger...,United States,2012,G,23.838
TV Show,Power Ranger...,United States,2001,G,2.004
TV Show,Power Ranger...,United States,1997,G,2.067
